0 0 0 -4.0506 -0.5609 -0.4822 -3.9381 -0.5650 -0.4642
0.0000 0.0000 0.0100 -3.9659 -0.5924 -16.7858 -4.2612 -0.2186 -17.4410
0.0000 0.0000 0.0010 -4.0402 -0.5645 -2.1062 -3.9774 -0.5279 -2.1765
0.0000 0.0000 0.0015 -4.0351 -0.5663 -2.9183 -3.9985 -0.5084 -3.0319
0.0000 0.0000 0.0001 -4.0495 -0.5612 -0.6446 -3.9421 -0.5613 -0.6357
0.0000 0.0000 0.0020 -4.0302 -0.5681 -3.7306 -4.0176 -0.4885 -3.8858
0.0000 0.0000 0.0002 -4.0485 -0.5616 -0.8069 -3.9461 -0.5576 -0.8072
0.0000 0.0000 0.0030 -4.0206 -0.5716 -5.3558 -4.0520 -0.4495 -5.5886
0.0000 0.0000 0.0003 -4.0474 -0.5620 -0.9693 -3.9500 -0.5540 -0.9785
0.0000 0.0000 0.0040 -4.0115 -0.5749 -6.9821 -4.0775 -0.4157 -7.2817
0.0000 0.0000 0.0004 -4.0464 -0.5623 -1.1317 -3.9539 -0.5503 -1.1498
0.0000 0.0000 0.0050 -4.0027 -0.5781 -8.6100 -4.1004 -0.3838 -8.9713
0.0000 0.0000 0.0005 -4.0453 -0.5627 -1.2941 -3.9578 -0.5467 -1.3210
0.0000 0.0000 0.0060 -3.9945 -0.5812 -10.2397 -4.1270 -0.3511 -10.6620
0.0000 0.0000 0.0070 -3.9866 -0.5842 -11.8717 -4.1598 -0.3164 -12.3554
0.0000 0.0000 0.0080 -3.9792 -0.5871 -13.5064 -4.1913 -0.2830 -14.0487
0.0000 0.0000 0.0090 -3.9723 -0.5898 -15.1443 -4.2227 -0.2518 -15.7428
